,date,shown,clicked,converted,avg_cost_per_click,total_revenue,ad
0,10/1/15,65877,2339,43,0.9,641.62,ad_group_1
1,10/2/15,65100,2498,38,0.94,756.37,ad_group_1
2,10/3/15,70658,2313,49,0.86,970.9,ad_group_1
3,10/4/15,69809,2833,51,1.01,907.39,ad_group_1
4,10/5/15,68186,2696,41,1.0,879.45,ad_group_1
5,10/6/15,66864,2617,46,0.98,746.48,ad_group_1
6,10/7/15,68227,2390,42,0.94,462.33,ad_group_1
7,10/8/15,68520,2909,46,1.07,441.28,ad_group_1
8,10/9/15,67250,2385,49,0.88,602.14,ad_group_1
9,10/10/15,67873,2614,42,0.93,490.55,ad_group_1
10,10/11/15,66747,2296,50,0.87,448.04,ad_group_1
11,10/12/15,72211,2886,51,0.97,1199.39,ad_group_1
12,10/13/15,71101,3335,50,1.14,673.32,ad_group_1
13,10/14/15,75676,2885,54,0.96,973.77,ad_group_1
14,10/15/15,70274,2236,51,0.81,976.68,ad_group_1
15,10/16/15,72223,2765,45,0.96,735.16,ad_group_1
16,10/17/15,68489,3221,42,1.12,389.33,ad_group_1
17,10/18/15,70423,2598,62,0.95,1112.61,ad_group_1
18,10/19/15,67222,2693,47,0.97,907.68,ad_group_1
19,10/20/15,72393,2903,44,0.99,827.21,ad_group_1
20,10/21/15,69372,2677,51,0.97,1220.26,ad_group_1
21,10/22/15,66850,2349,46,0.88,431.73,ad_group_1
22,10/23/15,67967,2716,46,0.96,747.99,ad_group_1
23,10/24/15,63166,2458,47,0.96,892.89,ad_group_1
24,10/25/15,64943,2619,40,1.06,634.72,ad_group_1
25,10/26/15,69240,2379,47,0.89,296.0,ad_group_1
26,10/27/15,70721,2856,49,0.97,906.43,ad_group_1
27,10/28/15,68030,3035,50,1.08,805.95,ad_group_1
28,10/29/15,67087,2829,55,1.01,1552.51,ad_group_1
29,10/30/15,64381,2464,45,0.96,733.57,ad_group_1
30,10/31/15,67336,2598,48,0.97,611.25,ad_group_1
31,11/1/15,65199,2433,44,0.95,256.16,ad_group_1
32,11/2/15,67780,2487,49,0.93,519.25,ad_group_1
33,11/3/15,71552,2477,50,0.9,509.56,ad_group_1
34,11/4/15,70256,2888,42,1.0,375.76,ad_group_1
35,11/5/15,67618,2549,44,0.96,781.58,ad_group_1
36,11/6/15,65356,2411,51,0.93,1030.53,ad_group_1
37,11/7/15,72183,2414,42,0.85,560.04,ad_group_1
38,11/8/15,71716,3191,49,1.09,783.2,ad_group_1
39,11/9/15,70231,2703,47,0.96,1024.04,ad_group_1
40,11/10/15,69090,2546,52,0.93,1038.73,ad_group_1
41,11/11/15,70656,2967,44,1.05,688.3,ad_group_1
42,11/12/15,69647,2375,52,0.87,809.7,ad_group_1
43,11/13/15,72939,2992,47,1.02,828.18,ad_group_1
44,11/14/15,69212,2883,53,1.01,576.3,ad_group_1
45,11/15/15,74549,2961,42,1.0,394.81,ad_group_1
46,11/16/15,72724,3042,44,1.01,816.5,ad_group_1
47,11/17/15,71322,2577,46,0.92,698.92,ad_group_1
48,11/18/15,67866,3058,40,1.09,630.31,ad_group_1
49,11/19/15,72607,2999,50,1.0,739.56,ad_group_1
50,11/20/15,68974,3005,47,1.08,767.34,ad_group_1
